"","Station_number","Year","Month","Day","Temp_min","Temp_max","Rainfall","Solar_exposure"
"242",9225,1994,10,5,11,16.8,1.4,16.2
"243",9225,1994,10,6,2.2,17.4,0,22.9
"244",9225,1994,10,7,4.2,22.6,0,23.1
"245",9225,1994,10,8,7.3,29,0,23.8
"246",9225,1994,10,9,8.2,26.5,0,17.7
"247",9225,1994,10,10,14.8,28.4,0,22.1
"248",9225,1994,10,11,11.9,25.6,0,21.5
"249",9225,1994,10,12,12.2,22.3,0.2,23.5
"250",9225,1994,10,13,13.8,23.5,0,10.9
"251",9225,1994,10,14,10.8,17.6,9.6,18.1
"252",9225,1994,10,15,7.2,19,0.2,21.6
"253",9225,1994,10,16,11,23.2,0,23.7
"254",9225,1994,10,21,19.9,33.8,0,25.5
"255",9225,1994,10,22,15.8,23.3,0,19.6
"256",9225,1994,10,23,18,21.5,0,18.6
"257",9225,1994,10,29,11.9,29.3,0,24.9
"258",9225,1994,10,30,11.9,20.5,0,24.3
"259",9225,1994,11,1,8.4,25.4,0,15.7
"260",9225,1994,11,2,8.6,21.9,0,27.8
"261",9225,1994,11,3,12.7,23.5,0,26.4
"262",9225,1994,11,4,13.5,27,0,27.1
"263",9225,1994,11,5,15.9,31.9,0,29.4
"264",9225,1994,11,6,18.4,36.5,0,29.6
"265",9225,1994,11,7,15.5,33.9,0,28.4
"266",9225,1994,11,8,19.5,24.5,0,27.5
"267",9225,1994,11,9,14.6,24.2,0,28.2
"268",9225,1994,11,10,15.8,24.2,0,27.5
"269",9225,1994,11,11,14.2,25.4,0,28.9
"270",9225,1994,11,12,12,25.3,0,30.2
"271",9225,1994,11,13,15,28.4,0,30.5
"272",9225,1994,11,19,9.6,22.3,0,30.9
"273",9225,1994,11,20,12.4,25.6,0,31.9
"274",9225,1994,11,21,13.8,31.5,0,31.6
"275",9225,1994,11,22,19.4,25.8,0,30.8
"276",9225,1994,11,23,14.3,22.4,0,23.5
"277",9225,1994,11,24,15,22.3,1.2,22.9
"278",9225,1994,11,25,16.5,23.8,1,20.1
"279",9225,1994,11,26,17,21.8,1.6,15.1
"280",9225,1994,11,27,12,23.5,2.8,27.6
"281",9225,1994,11,28,11.6,23.7,0,31.7
"282",9225,1994,11,29,15.6,32.4,0,32.1
"283",9225,1994,11,30,18.3,37.8,0,31.5
"284",9225,1994,12,1,19.1,24.9,0,21.2
"285",9225,1994,12,3,14.7,25.6,0,30.2
"286",9225,1994,12,4,16.2,24.3,0,32.8
"287",9225,1994,12,10,16,27.9,0,32.6
"288",9225,1994,12,11,16.1,22.7,0,32.1
"289",9225,1994,12,14,16.2,32.8,0,32.5
"290",9225,1994,12,15,19.9,34.8,0,32.7
"291",9225,1994,12,16,20.2,36.5,0,32.6
"292",9225,1994,12,17,21.8,33.8,0,32.6
"293",9225,1994,12,19,18,29.9,0,29.2
"294",9225,1994,12,20,18.3,26.3,0,25.4
"295",9225,1994,12,21,15.6,30.6,0,32.6
"296",9225,1994,12,22,17.5,31.9,0,32.3
"297",9225,1994,12,23,17.8,33.4,0,33.7
"298",9225,1994,12,24,16.4,35.2,0,33.5
"299",9225,1994,12,25,17.4,25.3,0,33.4
"300",9225,1994,12,26,15.8,27,0,33.5
"301",9225,1994,12,27,18.7,25.1,0,23.3
"302",9225,1994,12,28,12,29.2,0,34.2
"303",9225,1994,12,29,13.9,35.7,0,34
"304",9225,1994,12,30,18,40.9,0,32.6
"305",9225,1994,12,31,23.1,35.4,0,33.6
"306",9225,1995,1,1,18.3,32.5,0,33.3
"307",9225,1995,1,2,17.1,31.7,0,33.1
"308",9225,1995,1,3,20.8,33.6,0,33.5
"309",9225,1995,1,4,18.6,29.7,0,31.4
"310",9225,1995,1,5,14,29.5,0,32.5
"311",9225,1995,1,6,17.2,32.8,0,32.3
"312",9225,1995,1,7,21.3,36.3,0,26.8
"313",9225,1995,1,8,21.6,27,0,29
"314",9225,1995,1,11,16.6,33.1,0,32.3
"315",9225,1995,1,12,20.5,37.5,0,30.5
"316",9225,1995,1,13,20.1,31.3,0,28.6
"317",9225,1995,1,14,19.8,32.3,0,27.1
"318",9225,1995,1,15,22.1,35.3,0,30.7
"319",9225,1995,1,16,22.3,34.3,0,30.7
"320",9225,1995,1,18,23.7,37,0,30.6
"321",9225,1995,1,19,20.6,32.5,0,31.2
"322",9225,1995,1,21,17.8,33.9,0,31.5
"323",9225,1995,1,22,18.6,27.7,0,27.8
"324",9225,1995,1,24,17.6,29.1,0,26.8
"325",9225,1995,1,25,19,31.1,0,29.5
"326",9225,1995,1,26,19,34.5,0,28.5
"327",9225,1995,1,28,20.1,26,0,25.4
"328",9225,1995,1,29,14.9,24,0,28.7
